(-58, 315766615, 53, 40)
(-39, 149105987, 39, 63)
(-29, 96935565, 53, 112)
(-28, 149105987, 39, 74)
(-26, 208071576, 76, 36)
(-25, 51440542, 87, 106)
(-23, 4294967295, 44, 23)
(-23, 187728617, 22, 2)
(-22, 4294967295, 38, 11)
(-21, 243433767, 13, 53)
(-19, 83213985, 5, 68)
(-19, 96935565, 53, 5)
(-18, 178610931, 43, 18)
(-17, 297449766, 76, 51)
(-14, 4294967295, 30, 104)
(-14, 124152793, 74, 22)
(-14, 150888150, 85, 86)
(-13, 61072597, 111, 101)
(-12, 15168400, 14, 30)
(-11, 4294967295, 93, 52)
(-11, 130359494, 47, 28)
(-10, 173590469, 25, 85)
(-9, 102009714, 20, 22)
(-9, 4294967295, 48, 19)
(-8, 21092646, 100, 23)
(-8, 100809514, 74, 16)
(-8, 15168400, 14, 19)
(-8, 114150698, 74, 35)
(-8, 4294967295, 98, 50)
(-7, 4294967295, 85, 18)
(-7, 4294967295, 93, 110)
(-7, 4294967295, 38, 83)
(-6, 7272531, 23, 50)
(-6, 111616092, 74, 93)
(-6, 101784241, 26, 68)
(-5, 4294967295, 30, 10)
(-5, 55283944, 67, 74)
(-5, 14932026, 15, 34)
(-5, 245542848, 74, 50)
(-5, 4294967295, 69, 102)
(-4, 112752497, 74, 101)
(-4, 323393930, 50, 70)
(-4, 191770353, 18, 48)
(-4, 316095421, 30, 46)
(-4, 4294967295, 27, 25)
(-4, 139205296, 71, 59)
(-3, 414400, 43, 46)
(-3, 4294967295, 67, 111)
(-3, 4294967295, 105, 72)
(-2, 107869230, 113, 74)
(-2, 30592860, 14, 22)
(-1, 4294967295, 111, 51)
(-1, 4294967295, 27, 59)
(-1, 4294967295, 12, 81)
(-1, 4294967295, 11, 59)
(0, 111103063, 5, 20)
(0, 94384933, 68, 55)
(0, 35109648, 93, 22)
(0, 66618789, 62, 86)
(0, 120974220, 93, 63)
(0, 4294967295, 6, 21)
(1, 4294967295, 28, 93)
(1, 4294967295, 37, 21)
(1, 4294967295, 104, 63)
(1, 185332244, 14, 49)
(1, 215661005, 21, 23)
(2, 104622237, 68, 16)
(2, 4294967295, 92, 27)
(2, 4294967295, 75, 99)
(2, 4294967295, 8, 106)
(2, 4294967295, 85, 100)
(2, 4294967295, 21, 44)
(2, 53996921, 76, 58)
(2, 115600499, 76, 26)
(2, 4294967295, 22, 35)
(2, 4294967295, 104, 107)
(2, 4294967295, 18, 49)
(2, 149105987, 39, 40)
(2, 81883901, 48, 110)
(2, 128740801, 20, 64)
(2, 4294967295, 5, 55)
(2, 86436599, 55, 44)
(2, 40958478, 42, 110)
(2, 4294967295, 36, 30)
(2, 4294967295, 25, 28)
(3, 60620676, 39, 106)
(3, 304508084, 74, 39)
(3, 4294967295, 91, 58)
(3, 109373636, 12, 11)
(3, 4294967295, 98, 76)
(3, 275598896, 14, 31)
(3, 365014, 59, 7)
(3, 4294967295, 87, 76)
(3, 86838090, 19, 74)
(3, 105538253, 73, 18)
(3, 4294967295, 26, 112)
(3, 129759093, 50, 2)
(3, 60376414, 12, 51)
(3, 2372769, 35, 86)
(3, 139597794, 19, 34)
(3, 4294967295, 16, 20)
(4, 4294967295, 10, 26)
(4, 4294967295, 68, 50)
(4, 160122068, 50, 39)
(4, 76555195, 92, 7)
(4, 128523555, 14, 14)
(4, 4294967295, 1, 26)
(4, 140017098, 42, 63)
(4, 79306542, 102, 73)
(4, 4294967295, 34, 3)
(4, 156517106, 83, 48)
(4, 86767400, 16, 8)
(4, 126761747, 11, 40)
(4, 4294967295, 27, 11)
(4, 51334524, 74, 97)
(4, 865373, 73, 14)
(5, 54736194, 7, 16)
(5, 33744502, 99, 18)
(5, 81610026, 48, 80)
(5, 65169495, 113, 101)
(5, 7122264, 86, 39)
(5, 4294967295, 104, 88)
(5, 190304374, 106, 76)
(5, 75729567, 54, 58)
(5, 4294967295, 53, 21)
(5, 4294967295, 22, 72)
(5, 28809490, 9, 104)
(5, 117548450, 50, 14)
(5, 150394633, 17, 8)
(5, 128518639, 8, 20)
(5, 106322273, 9, 85)
(5, 149169774, 9, 109)
(5, 4294967295, 20, 8)
(5, 4294967295, 8, 86)
(5, 162559909, 1, 45)
(5, 96935565, 53, 112)
(5, 4294967295, 11, 27)
(5, 149888612, 86, 20)
(5, 4294967295, 76, 25)
(5, 259233765, 21, 76)
(5, 75814432, 84, 5)
(5, 234342895, 20, 27)
(5, 4294967295, 14, 21)
(6, 132944419, 68, 32)
(6, 4294967295, 67, 51)
(6, 168120974, 12, 46)
(6, 162200785, 1, 8)
(6, 58248382, 31, 99)
(6, 218743249, 8, 21)
(6, 32785219, 11, 36)
(6, 70627866, 7, 2)
(6, 4294967295, 14, 44)
(6, 236780303, 104, 14)
(6, 84808367, 11, 98)
(6, 4294967295, 62, 27)
(6, 4294967295, 81, 42)
(6, 114236170, 64, 14)
(7, 90348925, 9, 20)
(7, 1401338, 64, 31)
(7, 4294967295, 11, 26)
(7, 200731302, 73, 74)
(7, 208070373, 67, 8)
(7, 89903268, 39, 22)
(7, 4294967295, 74, 85)
(7, 4294967295, 99, 49)
(7, 131260100, 109, 58)
(7, 142219797, 81, 14)
(7, 112013520, 6, 97)
(7, 144100734, 91, 62)
(7, 4294967295, 43, 30)
(7, 4294967295, 93, 88)
(7, 25709766, 5, 56)
(7, 122032872, 74, 21)
(7, 115225515, 67, 25)
(7, 4294967295, 32, 97)
(7, 4294967295, 44, 73)
(7, 4585187, 32, 78)
(7, 146416535, 14, 21)
(7, 4294967295, 14, 25)
(7, 135416409, 9, 44)
(7, 17357890, 102, 44)
(7, 171342942, 45, 107)
(7, 23286488, 87, 74)
(7, 72188453, 31, 3)
(7, 4294967295, 99, 106)
(7, 4294967295, 76, 45)
(7, 4294967295, 34, 11)
(8, 4294967295, 26, 57)
(8, 4294967295, 87, 104)
(8, 208208596, 105, 28)
(8, 43873763, 111, 2)
(8, 353522, 13, 67)
(8, 169266046, 81, 70)
(8, 4294967295, 82, 53)
(8, 4294967295, 64, 36)
(8, 39328728, 9, 88)
(8, 4294967295, 14, 74)
(8, 57082958, 74, 52)
(8, 113372833, 39, 60)
(8, 4294967295, 74, 83)
(8, 27418067, 13, 39)
(8, 117453648, 48, 90)
(8, 276541654, 5, 63)
(8, 49092801, 9, 74)
(8, 97030591, 112, 9)
(8, 97457610, 113, 74)
(9, 118382414, 111, 93)
(9, 4294967295, 47, 87)
(9, 87710779, 22, 96)
(9, 40749320, 59, 72)
(9, 102063660, 67, 39)
(9, 4294967295, 56, 21)
(9, 51108812, 56, 74)
(9, 81928223, 43, 56)
(9, 4294967295, 36, 21)
(9, 4294967295, 51, 68)
(9, 4294967295, 72, 75)
(9, 27333385, 63, 32)
(9, 4690, 67, 74)
(9, 70009375, 63, 19)
(9, 4294967295, 38, 75)
(9, 126251656, 72, 55)
(10, 71953310, 25, 85)
(10, 50674154, 50, 9)
(10, 4294967295, 70, 74)
(10, 37098248, 84, 71)
(10, 85910163, 30, 106)
(10, 98776233, 20, 47)
