(-58, 53, 40)
(-39, 39, 63)
(-29, 53, 112)
(-28, 39, 74)
(-26, 76, 36)
(-25, 87, 106)
(-23, 44, 23)
(-23, 22, 2)
(-22, 38, 11)
(-21, 13, 53)
(-19, 5, 68)
(-19, 53, 5)
(-18, 43, 18)
(-17, 76, 51)
(-14, 85, 86)
(-14, 30, 104)
(-14, 74, 22)
(-13, 111, 101)
(-12, 14, 30)
(-11, 93, 52)
(-11, 47, 28)
(-10, 25, 85)
(-9, 48, 19)
(-9, 20, 22)
(-8, 98, 50)
(-8, 100, 23)
(-8, 74, 16)
(-8, 14, 19)
(-8, 74, 35)
(-7, 93, 110)
(-7, 38, 83)
(-7, 85, 18)
(-6, 23, 50)
(-6, 74, 93)
(-6, 26, 68)
(-5, 74, 50)
(-5, 69, 102)
(-5, 30, 10)
(-5, 67, 74)
(-5, 15, 34)
(-4, 50, 70)
(-4, 18, 48)
(-4, 30, 46)
(-4, 27, 25)
(-4, 71, 59)
(-4, 74, 101)
(-3, 43, 46)
(-3, 67, 111)
(-3, 105, 72)
(-2, 113, 74)
(-2, 14, 22)
(-1, 12, 81)
(-1, 11, 59)
(-1, 111, 51)
(-1, 27, 59)
(0, 93, 22)
(0, 62, 86)
(0, 93, 63)
(0, 6, 21)
(0, 5, 20)
(0, 68, 55)
(1, 14, 49)
(1, 21, 23)
(1, 28, 93)
(1, 37, 21)
(1, 104, 63)
(2, 22, 35)
(2, 104, 107)
(2, 18, 49)
(2, 39, 40)
(2, 48, 110)
(2, 20, 64)
(2, 5, 55)
(2, 55, 44)
(2, 42, 110)
(2, 36, 30)
(2, 25, 28)
(2, 68, 16)
(2, 92, 27)
(2, 75, 99)
(2, 8, 106)
(2, 85, 100)
(2, 21, 44)
(2, 76, 58)
(2, 76, 26)
(3, 12, 11)
(3, 98, 76)
(3, 14, 31)
(3, 59, 7)
(3, 87, 76)
(3, 19, 74)
(3, 73, 18)
(3, 26, 112)
(3, 50, 2)
(3, 12, 51)
(3, 35, 86)
(3, 19, 34)
(3, 16, 20)
(3, 39, 106)
(3, 74, 39)
(3, 91, 58)
(4, 83, 48)
(4, 16, 8)
(4, 11, 40)
(4, 27, 11)
(4, 74, 97)
(4, 73, 14)
(4, 17, 29)
(4, 10, 26)
(4, 68, 50)
(4, 50, 39)
(4, 92, 7)
(4, 14, 14)
(4, 1, 26)
(4, 42, 63)
(4, 102, 73)
(4, 34, 3)
(5, 20, 8)
(5, 8, 86)
(5, 1, 45)
(5, 53, 112)
(5, 11, 27)
(5, 86, 20)
(5, 76, 25)
(5, 21, 76)
(5, 84, 5)
(5, 20, 27)
(5, 14, 21)
(5, 7, 16)
(5, 99, 18)
(5, 48, 80)
(5, 113, 101)
(5, 86, 39)
(5, 104, 88)
(5, 106, 76)
(5, 54, 58)
(5, 53, 21)
(5, 22, 72)
(5, 9, 104)
(5, 50, 14)
(5, 17, 8)
(5, 8, 20)
(5, 9, 85)
(5, 9, 109)
(6, 11, 36)
(6, 7, 2)
(6, 14, 44)
(6, 104, 14)
(6, 11, 98)
(6, 62, 27)
(6, 81, 42)
(6, 64, 14)
(6, 68, 32)
(6, 67, 51)
(6, 12, 46)
(6, 1, 8)
(6, 31, 99)
(6, 8, 21)
(7, 5, 56)
(7, 74, 21)
(7, 67, 25)
(7, 32, 97)
(7, 44, 73)
(7, 32, 78)
(7, 14, 21)
(7, 14, 25)
(7, 9, 44)
(7, 102, 44)
(7, 45, 107)
(7, 87, 74)
(7, 31, 3)
(7, 99, 106)
(7, 76, 45)
(7, 34, 11)
(7, 9, 20)
(7, 64, 31)
(7, 11, 26)
(7, 73, 74)
(7, 67, 8)
(7, 39, 22)
(7, 74, 85)
(7, 99, 49)
(7, 109, 58)
(7, 81, 14)
(7, 6, 97)
(7, 91, 62)
(7, 43, 30)
(7, 93, 88)
(8, 39, 60)
(8, 74, 83)
(8, 13, 39)
(8, 48, 90)
(8, 5, 63)
(8, 9, 74)
(8, 112, 9)
(8, 113, 74)
(8, 26, 57)
(8, 87, 104)
(8, 105, 28)
(8, 111, 2)
(8, 13, 67)
(8, 81, 70)
(8, 82, 53)
(8, 64, 36)
(8, 9, 88)
(8, 14, 74)
(8, 74, 52)
(9, 36, 21)
(9, 51, 68)
(9, 72, 75)
(9, 63, 32)
(9, 67, 74)
(9, 63, 19)
(9, 38, 75)
(9, 72, 55)
(9, 111, 93)
(9, 47, 87)
(9, 22, 96)
(9, 59, 72)
(9, 67, 39)
(9, 56, 21)
(9, 56, 74)
(9, 43, 56)
(10, 67, 31)
(10, 8, 21)
(10, 25, 51)
(10, 75, 25)
(10, 99, 44)
(10, 9, 25)
(10, 54, 99)
(10, 105, 76)
(10, 68, 87)
(10, 30, 65)
(10, 39, 76)
(10, 25, 85)
(10, 50, 9)
(10, 70, 74)
(10, 84, 71)
(10, 30, 106)
(10, 20, 47)
(10, 106, 25)
(10, 98, 49)
(10, 52, 94)
(10, 85, 49)
(10, 14, 44)
(10, 63, 22)
(10, 54, 49)
(11, 53, 106)
(11, 1, 93)
(11, 62, 35)
(11, 76, 74)
(11, 21, 17)
(11, 99, 5)
(11, 86, 14)
(11, 71, 4)
(11, 70, 8)
(11, 14, 43)
(11, 9, 109)
(11, 21, 104)
(11, 14, 7)
(11, 53, 72)
(11, 27, 29)
(11, 9, 63)
(11, 93, 99)
(11, 22, 34)
(11, 42, 12)
(11, 74, 104)
(11, 4, 49)
(12, 75, 15)
(12, 62, 50)
(12, 30, 14)
(12, 71, 11)
(12, 23, 2)
(12, 56, 25)
(12, 59, 44)
(12, 16, 14)
(12, 5, 74)
(12, 44, 23)
(12, 76, 22)
(12, 14, 96)
(12, 106, 21)
(12, 28, 83)
(12, 30, 74)
(12, 107, 80)
(12, 53, 99)
(12, 57, 74)
(12, 37, 74)
(12, 93, 83)
(12, 14, 43)
(12, 27, 12)
(12, 75, 67)
(13, 42, 86)
(13, 14, 18)
(13, 60, 74)
(13, 21, 51)
(13, 105, 12)
(13, 25, 30)
(13, 66, 106)
(13, 7, 20)
(13, 72, 74)
(13, 6, 14)
(13, 42, 9)
(13, 52, 107)
(13, 50, 74)
(14, 14, 104)
(14, 12, 73)
(14, 37, 16)
(14, 31, 71)
(14, 25, 9)
(14, 14, 14)
(14, 53, 47)
(14, 59, 35)
(14, 72, 86)
(14, 92, 17)
(14, 70, 72)
(14, 57, 14)
(15, 14, 59)
(15, 65, 44)
(15, 56, 88)
(15, 25, 47)
(15, 28, 76)
(15, 31, 28)
(15, 21, 30)
(15, 47, 70)
(15, 105, 97)
(15, 25, 75)
(15, 57, 85)
(15, 68, 79)
